ImageX,ImageY,Band01,Band02,Band03,Band04,Band05,Band06,Band07,Band08,Band8A,Band09,Band11,Band12
4,48,8,12,17,23,31,38,42,49,49,68,44,49
4,49,9,13,17,23,29,35,41,48,48,64,43,50
4,50,6,11,16,22,31,42,46,51,59,71,45,55
4,51,7,11,16,22,28,35,39,47,44,64,45,47
4,52,7,12,16,21,28,38,41,48,47,40,32,44
4,53,6,9,14,19,26,36,41,45,52,55,38,48
4,54,6,11,17,23,32,41,46,55,62,65,39,55
4,55,6,10,15,23,31,39,45,55,62,67,41,56
4,56,7,13,19,26,36,49,55,63,68,76,47,64
4,57,6,12,18,25,32,46,52,63,65,70,42,62
4,58,5,10,15,20,30,50,58,65,69,68,40,65
4,59,4,9,14,18,27,38,45,55,54,58,34,56
4,60,5,12,18,23,33,46,51,59,57,66,42,60
4,61,5,10,15,19,27,39,46,50,52,53,32,52
4,62,5,10,16,22,29,42,49,55,56,60,36,56
4,63,5,10,16,23,31,41,48,59,62,66,40,59
4,64,4,8,16,19,26,37,44,52,52,46,29,51
4,65,6,10,15,20,29,45,53,59,62,55,34,60
4,66,9,17,24,31,40,59,65,73,75,82,54,74
4,67,8,12,18,22,34,60,68,77,76,79,48,77
4,68,8,13,19,23,31,51,58,66,66,76,52,66
4,69,8,13,19,22,31,54,63,69,70,63,42,70
4,70,7,12,18,20,31,51,59,67,66,68,44,67
4,71,11,18,24,33,40,52,60,68,69,86,58,69
4,72,9,14,20,28,35,48,54,64,64,75,49,64
4,73,8,13,19,26,34,47,55,65,66,73,46,66
4,74,7,12,16,23,29,42,47,54,59,68,43,55
4,75,8,12,17,22,33,52,58,64,63,73,47,65
4,76,7,11,16,19,30,51,59,65,67,75,47,67
4,77,13,21,29,40,46,56,60,67,66,90,62,68
4,78,10,15,22,28,38,57,63,70,71,85,55,72
4,79,10,16,22,28,37,50,56,64,63,81,51,65
4,80,7,12,17,22,31,48,54,61,62,78,54,63
4,81,11,17,23,31,37,47,53,60,63,80,58,61
4,82,7,11,19,19,32,66,76,84,78,64,36,80
4,83,9,16,23,30,40,57,65,72,71,75,51,74
4,84,8,14,20,25,34,51,58,64,64,76,53,66
4,85,7,10,16,21,30,41,47,53,56,68,43,57
4,86,13,18,24,29,36,47,51,56,58,68,48,56
4,87,13,21,30,38,48,54,58,63,59,86,73,62
4,88,23,33,43,51,56,62,63,64,65,90,84,66
4,89,13,21,29,36,41,53,57,63,63,79,65,61
4,90,3,8,16,21,33,55,61,69,69,74,47,71
4,91,33,44,59,69,73,75,78,85,73,106,102,81
4,92,9,14,24,30,37,50,56,64,61,76,59,62
4,93,6,13,21,27,38,51,58,66,63,83,55,65
4,94,5,12,19,26,37,51,60,66,69,81,57,68
4,95,5,14,22,34,40,57,65,78,75,85,58,75
4,96,4,9,16,21,30,45,51,56,59,78,57,58
4,97,4,15,25,39,47,59,64,73,73,88,60,73
4,98,18,7,14,20,31,52,61,72,69,81,50,70
4,99,1,8,16,23,36,58,67,78,75,90,54,80
4,100,10,17,27,38,51,68,75,86,85,90,58,85
4,101,7,17,26,39,46,54,59,67,65,93,62,67
4,102,6,16,24,36,43,48,53,60,60,92,66,61
4,103,5,11,19,25,33,55,62,69,70,69,49,69
4,104,2,8,16,19,32,57,62,69,68,71,47,69
4,105,10,20,29,42,50,56,61,69,68,93,66,69
4,106,4,11,17,25,35,46,51,59,60,73,50,60
4,107,8,18,27,42,46,50,55,62,63,92,62,63
4,108,8,17,26,40,46,54,61,71,72,99,70,70
4,109,10,23,33,49,56,62,67,77,76,102,72,76
4,110,10,22,32,46,52,59,64,73,73,102,72,74
4,111,4,13,21,29,38,54,60,69,68,90,61,69
4,112,8,18,26,39,45,53,57,66,65,87,61,66
4,113,4,9,15,22,32,43,48,55,57,76,57,56
4,114,3,10,15,21,27,38,42,49,49,69,58,47
4,115,4,11,20,24,34,57,62,70,67,76,49,69
4,116,4,13,19,29,37,43,47,54,56,83,61,55
