Category,LandType,ImageX,ImageY,Band01,Band02,Band03,Band04,Band05,Band06,Band07,Band08,Band8A,Band09,Band11,Band12
3,Forest,754,1450,0.0,2.0,5.0,4.0,11.0,28.5,33.5,35.5,36.0,15.0,7.5,36.0
3,Forest,755,1299,0.0,2.0,4.0,3.0,9.0,27.5,32.5,34.5,34.0,14.5,6.5,36.0
3,Forest,755,1309,0.0,2.0,5.0,5.0,12.0,26.0,30.0,34.0,34.5,19.5,10.0,34.0
3,Forest,765,1299,0.0,2.0,5.5,5.5,11.5,26.5,31.0,33.5,35.0,21.5,11.0,34.0
3,Forest,765,1309,0.0,2.0,5.0,4.0,10.5,28.0,32.0,35.5,35.0,17.0,8.0,35.0
3,Forest,756,1247,0.0,2.0,5.0,5.0,10.5,25.0,29.5,31.0,33.0,20.0,10.5,32.0
3,Forest,756,1257,0.0,2.0,4.0,3.0,10.0,26.5,32.5,35.5,34.0,14.0,7.0,36.5
3,Forest,766,1247,0.0,2.0,5.0,3.5,10.0,26.0,31.0,32.5,32.0,16.0,8.5,35.0
3,Forest,766,1257,0.0,1.0,4.0,3.0,8.0,24.5,30.0,33.5,31.5,11.5,5.0,33.0
3,Forest,736,1111,0.0,1.0,4.0,3.0,8.0,23.5,28.0,32.5,32.0,12.5,6.0,30.5
3,Forest,736,1121,0.0,2.0,5.0,3.5,9.0,24.5,30.0,33.5,33.5,14.5,7.5,32.5
3,Forest,746,1111,0.0,2.0,5.0,4.0,10.5,28.5,34.0,40.0,34.0,15.5,8.0,36.5
3,Forest,746,1121,0.0,1.5,4.0,3.0,7.5,23.0,28.5,32.0,32.0,12.0,6.0,30.5
3,Forest,556,1172,0.0,2.0,4.0,4.0,9.0,22.0,26.0,28.5,27.5,17.0,10.5,28.0
3,Forest,556,1182,1.0,2.5,5.5,4.5,9.5,24.0,29.0,33.5,32.0,17.5,10.0,31.0
3,Forest,566,1172,0.0,1.5,4.0,3.0,8.0,21.0,25.5,29.0,27.5,14.5,8.5,27.5
3,Forest,566,1182,0.0,2.0,5.0,4.0,9.5,24.5,28.5,31.5,30.5,17.5,10.0,30.5
3,Forest,408,779,1.0,3.0,6.0,5.5,12.0,29.0,33.5,36.5,40.0,18.5,10.5,37.0
3,Forest,408,789,1.0,3.0,7.0,5.5,13.0,33.0,37.5,41.5,40.5,19.0,10.0,41.0
3,Forest,418,779,0.5,3.5,6.0,3.5,11.5,36.0,42.0,45.5,46.5,13.0,6.5,47.5
