Category,LandType,ImageX,ImageY,Band01,Band02,Band03,Band04,Band05,Band06,Band07,Band08,Band8A,Band09,Band11,Band12
6,MountainRock,205,815,35.0,39.0,46.0,53.0,57.0,60.0,63.0,68.0,80.0,109.0,99.0,70.0
6,MountainRock,205,820,28.0,32.0,37.0,43.0,47.0,49.0,52.0,57.0,72.0,82.0,73.0,58.0
6,MountainRock,210,805,33.0,35.0,40.0,47.0,50.0,53.0,56.0,69.0,80.0,100.0,96.0,65.0
6,MountainRock,210,810,25.0,25.0,29.0,35.0,41.0,43.0,46.0,51.0,67.0,82.0,85.0,51.0
6,MountainRock,210,815,31.0,36.0,42.0,48.0,53.0,56.0,60.0,66.0,79.0,103.0,98.0,67.0
6,MountainRock,210,820,35.0,38.0,43.0,50.0,56.0,59.0,62.0,66.0,81.0,105.0,97.0,69.0
6,MountainRock,215,805,20.0,25.0,28.0,33.0,36.0,39.0,43.0,44.0,42.0,73.0,64.0,48.0
6,MountainRock,215,810,18.0,23.0,25.0,30.0,33.0,36.0,39.0,44.0,50.0,69.0,63.0,45.0
6,MountainRock,215,815,21.0,23.0,27.0,32.0,33.0,36.0,42.0,47.0,47.0,70.0,64.0,50.0
6,MountainRock,215,820,27.0,34.0,38.0,44.0,45.0,49.0,50.0,58.0,64.0,90.0,89.0,56.0
6,MountainRock,252,718,30.0,33.0,26.0,20.0,21.0,22.0,23.0,21.0,51.0,22.0,24.0,21.0
6,MountainRock,252,723,31.0,22.0,25.0,30.0,33.0,34.0,36.0,37.0,62.0,61.0,61.0,39.0
6,MountainRock,252,728,38.0,47.0,51.0,58.0,58.0,60.0,62.0,70.0,80.0,112.0,111.0,68.0
6,MountainRock,252,733,26.0,30.0,34.0,40.0,42.0,43.0,46.0,52.0,65.0,92.0,98.0,52.0
6,MountainRock,257,718,20.0,22.0,24.0,28.0,30.0,30.0,31.0,34.0,45.0,60.0,65.0,35.0
6,MountainRock,257,723,26.0,26.0,29.0,34.0,37.0,39.0,40.0,43.0,62.0,80.0,79.0,46.0
6,MountainRock,257,728,26.0,37.0,42.0,47.0,49.0,50.0,52.0,58.0,59.0,92.0,91.0,58.0
6,MountainRock,257,733,33.0,39.0,39.0,44.0,32.0,34.0,37.0,57.0,67.0,75.0,73.0,41.0
6,MountainRock,262,718,20.0,25.0,28.0,32.0,34.0,35.0,37.0,40.0,49.0,61.0,63.0,43.0
6,MountainRock,262,723,25.0,29.0,33.0,38.0,40.0,41.0,42.0,47.0,59.0,83.0,84.0,48.0
6,MountainRock,262,728,27.0,29.0,33.0,38.0,42.0,44.0,45.0,49.0,65.0,88.0,85.0,51.0
6,MountainRock,262,733,24.0,22.0,25.0,29.0,32.0,35.0,38.0,42.0,57.0,69.0,65.0,44.0
6,MountainRock,267,718,18.0,20.0,23.0,26.0,28.0,31.0,35.0,40.0,46.0,51.0,52.0,40.0
6,MountainRock,267,723,22.0,23.0,26.0,30.0,34.0,35.0,37.0,41.0,52.0,67.0,71.0,41.0
6,MountainRock,267,728,25.0,27.0,31.0,35.0,40.0,42.0,44.0,47.0,64.0,83.0,80.0,52.0
6,MountainRock,267,733,28.0,34.0,40.0,45.0,50.0,51.0,54.0,56.0,69.0,99.0,90.0,59.0
6,MountainRock,230,666,22.0,29.0,34.0,42.0,47.0,52.0,56.0,62.0,60.0,107.0,100.0,63.0
6,MountainRock,230,671,10.0,2.0,4.0,3.0,10.0,37.0,46.0,52.0,54.0,20.0,12.0,50.0
6,MountainRock,230,676,26.0,31.0,37.0,42.0,50.0,52.0,54.0,49.0,61.0,72.0,72.0,57.0
6,MountainRock,230,681,25.0,29.0,35.0,42.0,44.0,46.0,49.0,55.0,54.0,88.0,89.0,54.0
6,MountainRock,235,666,33.0,45.0,50.0,58.0,57.0,60.0,62.0,73.0,66.0,114.0,108.0,70.0
6,MountainRock,235,671,28.0,32.0,36.0,44.0,50.0,55.0,59.0,64.0,71.0,108.0,98.0,69.0
6,MountainRock,235,676,29.0,24.0,27.0,31.0,33.0,34.0,36.0,42.0,63.0,67.0,69.0,41.0
6,MountainRock,235,681,32.0,36.0,37.0,40.0,48.0,49.0,51.0,51.0,64.0,82.0,78.0,54.0
6,MountainRock,240,666,26.0,33.0,38.0,43.0,45.0,46.0,49.0,54.0,61.0,87.0,84.0,55.0
6,MountainRock,240,671,26.0,25.0,26.0,28.0,32.0,36.0,38.0,35.0,49.0,63.0,57.0,44.0
6,MountainRock,240,676,38.0,38.0,36.0,39.0,47.0,53.0,54.0,49.0,70.0,103.0,98.0,60.0
6,MountainRock,240,681,29.0,30.0,24.0,22.0,20.0,20.0,22.0,24.0,39.0,28.0,25.0,23.0
6,MountainRock,245,666,23.0,27.0,32.0,38.0,41.0,44.0,46.0,50.0,56.0,86.0,83.0,53.0
6,MountainRock,245,671,23.0,22.0,27.0,32.0,35.0,37.0,39.0,42.0,58.0,76.0,77.0,45.0
6,MountainRock,245,676,29.0,42.0,47.0,53.0,58.0,59.0,62.0,67.0,68.0,112.0,104.0,68.0
6,MountainRock,245,681,27.0,37.0,42.0,49.0,52.0,54.0,57.0,58.0,65.0,97.0,91.0,60.0
6,MountainRock,477,679,33.0,40.0,45.0,50.0,51.0,53.0,57.0,61.0,71.0,90.0,87.0,63.0
6,MountainRock,477,684,6.0,7.0,7.0,6.0,13.0,25.0,28.0,33.0,49.0,31.0,22.0,31.0
6,MountainRock,477,689,12.0,13.0,14.0,12.0,12.0,29.0,35.0,35.0,42.0,20.0,15.0,39.0
6,MountainRock,477,694,12.0,5.0,6.0,6.0,11.0,25.0,32.0,31.0,68.0,24.0,16.0,37.0
6,MountainRock,482,679,37.0,47.0,50.0,56.0,64.0,65.0,67.0,67.0,72.0,107.0,101.0,72.0
6,MountainRock,482,684,23.0,27.0,21.0,15.0,16.0,18.0,21.0,19.0,18.0,24.0,18.0,21.0
6,MountainRock,482,689,19.0,22.0,16.0,13.0,14.0,16.0,18.0,17.0,16.0,21.0,16.0,18.0
6,MountainRock,482,694,19.0,21.0,16.0,14.0,14.0,16.0,18.0,18.0,19.0,22.0,17.0,18.0
6,MountainRock,487,679,34.0,27.0,28.0,32.0,43.0,46.0,47.0,42.0,75.0,85.0,78.0,55.0
6,MountainRock,487,684,51.0,80.0,90.0,100.0,94.0,99.0,103.0,120.0,99.0,140.0,136.0,108.0
6,MountainRock,487,689,25.0,27.0,22.0,16.0,17.0,19.0,20.0,19.0,25.0,24.0,18.0,20.0
6,MountainRock,487,694,22.0,24.0,29.0,33.0,36.0,38.0,38.0,42.0,61.0,57.0,51.0,40.0
